season,week,n_active,n_elim,actual_elim,pred_pct,pred_rank,pct_match,rank_match,same_pred,V_elim_pct,V_elim_rank,pct_more_audience,rank_more_audience,margin_pct,margin_rank
18,2,11,2,Billy Dee Williams | Sean Avery,Billy Dee Williams | Sean Avery,Billy Dee Williams | Sean Avery,1,1,1,1.3957255771155697e-08,1.3957255771155697e-08,0,0,0.05986419144090262,0.06060606060606061
18,5,9,1,Cody Simpson,Cody Simpson,Cody Simpson,1,1,1,5.733577544071062e-10,5.733577544071062e-10,0,0,0.06555020575956677,0.07777777777777778
18,6,8,1,Drew Carey,Drew Carey,Drew Carey,1,1,1,2.229663534413485e-09,2.229663534413485e-09,0,0,0.07799143030161057,0.09722222222222222
18,7,7,1,NeNe Leakes,NeNe Leakes,NeNe Leakes,1,1,1,1.0372416995610175e-09,1.0372416995610175e-09,0,0,0.09056254266744729,0.12499999999999999
18,8,6,1,Danica McKellar,Danica McKellar,Danica McKellar,1,1,1,6.118261074003202e-09,6.118261074003202e-09,0,0,0.09909757839531282,0.023809523809523808
18,9,5,1,Charlie White,Charlie White,Charlie White,1,1,1,5.940156116921432e-09,5.940156116921432e-09,0,0,0.12562290049962774,0.08333333333333331
19,1,13,1,Lolo Jones,Lolo Jones,Lolo Jones,1,1,1,1.655030904584721e-09,1.655030904584721e-09,0,0,0.05123912557715235,0.06043956043956043
19,2,12,1,Tavis Smiley,Tavis Smiley,Tavis Smiley,1,1,1,2.661033587914678e-09,2.661033587914678e-09,0,0,0.04867340813461712,0.05448717948717948
19,3,11,1,Randy Couture,Randy Couture,Randy Couture,1,1,1,6.324462828080925e-10,6.324462828080925e-10,0,0,0.05944515909628675,0.07575757575757576
19,4,10,1,Betsey Johnson,Betsey Johnson,Betsey Johnson,1,1,1,4.385860015474884e-09,4.385860015474884e-09,0,0,0.06070001738825628,0.04999999999999999
19,6,9,1,Jonathan Bennett,Jonathan Bennett,Jonathan Bennett,1,1,1,2.6915198835479606e-09,2.6915198835479606e-09,0,0,0.06352975848921621,0.04444444444444444
19,7,8,1,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,1,1,1,4.225829924033996e-09,4.225829924033996e-09,0,0,0.07757113335806792,0.08333333333333334
19,8,7,1,Michael Waltrip,Michael Waltrip,Michael Waltrip,1,1,1,7.807827637401094e-10,7.807827637401094e-10,0,0,0.10776411403606304,0.12499999999999999
19,9,6,1,Lea Thompson,Lea Thompson,Lea Thompson,1,1,1,1.7491233304601413e-07,1.7491233304601413e-07,0,0,0.10179031483156548,0.09523809523809523
19,10,5,1,Tommy Chong,Tommy Chong,Tommy Chong,1,1,1,1.807894716942366e-06,1.807894716942366e-06,0,0,0.14381633851826114,0.16666666666666669
20,2,12,1,Redfoo,Redfoo,Redfoo,1,1,1,7.678999667837981e-10,7.678999667837981e-10,0,0,0.04213048851930402,0.01602564102564103
20,3,11,1,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,1,1,1,1.1164783975785243e-09,1.1164783975785243e-09,0,0,0.06128185101927414,0.07575757575757576
20,4,10,1,Michael Sam,Michael Sam,Michael Sam,1,1,1,3.296272791571871e-09,3.296272791571871e-09,0,0,0.05978445631907246,0.0590909090909091
